Club,GamesPlayed,TotalPoints,TotalWins,TotalLosses,Draws,Goals,GoalsAgainst,GoalsDifferential,PenaltyKickTaken,PenaltyKickConceded,Fouls,FoulsSuffered,Offsides,YellowCards,RedCards,Year,StadiumCapacity,TotalSpectators,AverageAttendance,Matches,SoldOut,Capacity %,Win/lossRatio
Dallas,32,48,13,10,9,52,44,8,4,2,557,403,97,63,2,2005,20.5,179.021,11.189,16,-,0.546,1.3
Kansas City,32,45,11,9,12,52,44,8,2,1,389,464,102,42,1,2005,21.0,155.06,9.691,16,-,0.462,1.2222222222222223
LAFC,32,45,13,13,6,44,45,-1,6,6,449,484,108,59,2,2005,27.0,387.256,24.204,16,7,0.896,1.0
New England,32,59,17,7,8,55,37,18,6,5,440,459,85,55,2,2005,20.0,200.397,12.525,16,-,0.626,2.4285714285714284
New york,32,47,12,9,11,53,49,4,7,3,458,406,124,65,4,2005,25.0,241.23,15.077,16,-,0.603,1.3333333333333333
Salt Lake,32,20,5,22,5,30,65,-35,4,4,423,458,90,60,6,2005,20.213,288.586,18.037,16,-,0.892,0.22727272727272727
San Jose,32,64,18,4,10,53,31,22,5,4,528,590,96,54,4,2005,18.0,208.594,13.037,16,-,0.724,4.5
Chicago,30,33,8,13,9,36,44,-8,6,5,420,504,79,51,5,2004,24.955,257.295,17.153,15,-,0.687,0.6153846153846154
Colorado,30,41,10,9,11,29,32,-3,7,5,463,385,102,47,4,2004,18.086,212.925,14.195,15,-,0.785,1.1111111111111112
Columbus,30,49,12,5,13,40,32,8,8,7,464,398,75,49,2,2004,20.011,253.079,16.872,15,-,0.843,2.4
D.C.,30,42,11,10,9,43,42,1,5,4,542,410,75,66,3,2004,20.0,258.484,17.232,15,-,0.862,1.1
Dallas,30,36,10,14,6,34,45,-11,2,1,499,373,71,60,5,2004,20.5,136.319,9.088,15,-,0.443,0.7142857142857143
Kansas City,30,49,14,9,7,38,30,8,5,3,405,429,67,43,4,2004,21.0,222.235,14.816,15,-,0.706,1.5555555555555556
LAFC,30,43,11,9,10,42,40,2,5,4,484,469,75,60,1,2004,27.0,357.137,23.809,15,5,0.882,1.2222222222222223
New England,30,33,8,13,9,42,43,-1,6,4,406,477,72,48,3,2004,20.0,158.119,11.294,14,-,0.565,0.6153846153846154
New york,30,40,11,12,7,47,49,-2,8,4,430,500,48,53,2,2004,25.0,257.923,17.195,15,-,0.688,0.9166666666666666
